# -- start of yaml config --
# ---
# app:
#   name: fview2-pylon
#   version: 0.20.29
#   git_hash: 40bdbc539a03f94077ff55a1471cf0c3581724fd
# camera:
#   vendor: Basler
#   model: Basler-22149787
#   serial: "22149787"
#   width: 1280
#   height: 1024
# created_at: "2019-11-07T12:42:20.295458019+01:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.009999999776482582
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 10
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.30000001192092898
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 450
#       radius: 430
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
561,655215,410.2,516.2,-1.001,4187,16000,0,0
6374,655216,409.7,516.5,-0.918,4116,16000,0,0
12337,655217,409.3,516.5,-0.883,4067,16000,0,0
18235,655218,409.0,516.5,-0.835,3982,16000,0,0
24145,655219,408.6,516.5,-0.819,4024,16000,0,0
30050,655220,408.4,516.6,-0.797,3911,16000,0,0
35957,655221,408.2,516.5,-0.770,3876,16000,0,0
41863,655222,407.8,516.7,-0.759,3953,16000,0,0
50119,655223,407.5,516.8,-0.727,3988,16000,0,0
55200,655224,407.1,517.0,-0.717,3972,16000,0,0
61060,655225,406.8,517.0,-0.701,3932,16000,0,0
65464,655226,406.6,517.1,-0.700,4029,16000,0,0
71411,655227,406.4,517.2,-0.682,4047,16000,0,0
77315,655228,406.1,517.3,-0.685,3967,16000,0,0
83225,655229,405.8,517.4,-0.680,3923,16000,0,0
89896,655230,405.5,517.6,-0.701,3904,16000,0,0
95039,655231,405.4,517.7,-0.673,3996,16000,0,0
100959,655232,404.9,517.9,-0.685,3990,16000,0,0
117713,655233,404.6,517.9,-0.686,4013,16000,0,0
118322,655234,404.4,517.9,-0.712,3953,16000,0,0
119009,655235,404.0,518.2,-0.736,3895,16000,0,0
134213,655236,403.6,518.3,-0.732,3916,16000,0,0
134421,655237,403.3,518.5,-0.734,3995,16000,0,0
136335,655238,403.0,518.7,-0.747,3976,16000,0,0
143945,655239,402.7,518.9,-0.743,3944,16000,0,0
148153,655240,402.5,519.0,-0.741,3985,16000,0,0
154130,655241,402.2,519.2,-0.707,3922,16000,0,0
160055,655242,402.0,519.3,-0.715,3954,16000,0,0
165952,655243,401.8,519.3,-0.702,3941,16000,0,0
171867,655244,401.6,519.5,-0.710,3996,16000,0,0
177722,655245,401.4,519.5,-0.706,3876,16000,0,0
183701,655246,401.2,519.7,-0.737,3893,16000,0,0
189523,655247,401.0,519.6,-0.726,3856,16000,0,0
195488,655248,401.1,519.6,-0.707,3820,16000,0,0
201362,655249,400.8,519.7,-0.685,3907,16000,0,0
207293,655250,400.8,519.7,-0.685,3849,16000,0,0
213178,655251,400.8,519.7,-0.686,3893,16000,0,0
219095,655252,400.6,519.8,-0.703,3935,16000,0,0
